Period,Time,Strength,Team,Shooter,Shot Type?,A1,A2,A3,A1 Zone,A2 Zone,A3 Zone,SC?,SOG?,Oddman,G?,RB,RB SOG?,RB G?,Home Score State,Goalie,Game ID,Date,Home:,Away: ,Home Goalies,Away Goalies,Blue Jackets,F,F,F,D,D,G/Extra Attacker,Opp,F,F,F,D,D,G/Extra Attacker
2,16:26,5v5,TOR,26,W,19,46,,oc,dl,,,,,,,,,0,72,20059,10/16/2015,CBJ,TOR,,,,19,20,71,7,58,72,,16,26,19,2,44,34
2,16:18,5v5,CBJ,18,B,43,25,,nc,df,,,y,,,,,,0,34,20059,10/16/2015,CBJ,TOR,,,,25,18,43,27,29,72,,42,47,21,2,44,34
2,15:55,5v5,TOR,47,T,42,21,42,or,oelr,or,y,y,,,,,,0,72,20059,10/16/2015,CBJ,TOR,,,,25,18,43,27,29,72,,42,47,21,2,44,34
2,15:13,5v4,TOR,3,W,15,3,28,ol,oc,opc,,,,,,,,0,72,20059,10/16/2015,CBJ,TOR,,,,9,11,47,51,72,0,,43,47,15,28,3,34
2,14:51,5v4,TOR,15,W,3,43,3,oc,or,ol,,,,,,,,0,72,20059,10/16/2015,CBJ,TOR,,,,9,11,47,51,72,0,,43,47,15,28,3,34
2,14:37,5v4,TOR,43,W,3,,,or,,,y,y,,,,,,0,72,20059,10/16/2015,CBJ,TOR,,,,9,11,47,51,72,0,,43,47,15,28,3,34
2,14:29,5v4,TOR,3,O,15,28,,ol,opl,,,,,,,,,0,72,20059,10/16/2015,CBJ,TOR,,,,9,11,47,51,72,0,,43,47,15,28,3,34
2,14:07,5v4,TOR,28,T,43,3,43,ol,oc,opl,y,y,,,15,y,,0,72,20059,10/16/2015,CBJ,TOR,,,,9,11,47,51,72,0,,43,47,15,28,3,34
2,12:50,5v5,TOR,2,S,42,,,of,,,,,,,,,,0,72,20059,10/16/2015,CBJ,TOR,,,,19,20,71,27,29,72,,42,47,21,2,44,34
2,12:26,5v5,TOR,21,W,42,44,34,dc,dc,dc,,y,,y,,,,0,72,20059,10/16/2015,CBJ,TOR,,,,19,20,71,27,29,72,,42,47,21,2,44,34
2,11:10,5v5,TOR,43,W,28,,,oelr,,,y,y,,,,,,-1,72,20059,10/16/2015,CBJ,TOR,,,,17,38,13,7,58,72,,23,43,28,3,51,34
2,11:09,5v5,TOR,43,W,23,,,oc,,,y,y,,y,,,,-1,72,20059,10/16/2015,CBJ,TOR,,,,17,38,13,7,58,72,,23,43,28,3,51,34
2,9:44,5v5,TOR,21,W,47,21,2,ol,dl,dc,,y,,,,,,-2,72,20059,10/16/2015,CBJ,TOR,,,,19,20,71,47,51,72,,16,47,21,44,46,34
2,9:34,5v5,CBJ,19,W,71,,,dsr,,,,y,,,,,,-2,34,20059,10/16/2015,CBJ,TOR,,,,19,43,71,47,51,72,,23,43,28,2,44,34
2,8:50,5v5,TOR,16,B,28,,,oelc,,,y,,,,,,,-2,72,20059,10/16/2015,CBJ,TOR,,,,19,43,71,47,51,72,,16,23,28,3,51,34
2,8:02,5v5,CBJ,20,S,25,18,,nc,dr,,,,,,,,,-2,34,20059,10/16/2015,CBJ,TOR,,,,25,18,20,27,29,72,,24,15,40,36,46,34
2,6:10,5v5,CBJ,38,W,51,,,dsr,,,,,,,,,,-2,34,20059,10/16/2015,CBJ,TOR,,,,9,38,23,47,51,72,,16,26,19,3,51,34
2,5:28,5v4,CBJ,71,T,19,43,27,ol,oc,ol,y,y,,,,,,-2,34,20059,10/16/2015,CBJ,TOR,,,,19,20,43,71,27,72,,16,40,2,46,34,0
2,3:14,5v5,TOR,43,W,47,,,orrl,,,y,y,,,,,,-2,72,20059,10/16/2015,CBJ,TOR,,,,25,18,11,47,51,72,,43,47,21,46,51,34
2,2:14,5v5,CBJ,43,W,27,71,27,nc,dc,dc,,y,,,,,,-2,34,20059,10/16/2015,CBJ,TOR,,,,19,43,71,27,29,72,,16,23,28,2,44,34
2,2:02,5v5,CBJ,19,T,29,27,43,or,ol,opl,y,y,,,,,,-2,34,20059,10/16/2015,CBJ,TOR,,,,19,43,71,27,29,72,,16,23,28,2,44,34
2,1:58,5v5,CBJ,71,W,43,,,oelc,,,y,y,,y,,,,-2,34,20059,10/16/2015,CBJ,TOR,,,,19,43,71,27,29,72,,16,23,28,2,44,34
2,1:46,5v5,TOR,19,W,26,,,oc,,,,y,,,,,,-1,72,20059,10/16/2015,CBJ,TOR,,,,25,18,20,7,58,72,,16,26,19,46,51,34
2,0:57,5v5,CBJ,18,B,20,,,dl,,,,,,,,,,-1,34,20059,10/16/2015,CBJ,TOR,,,,25,18,20,47,51,72,,43,47,21,2,44,34
2,0:09,5v4,CBJ,20,O,43,71,,ol,ol,,y,y,,,,,,-1,34,20059,10/16/2015,CBJ,TOR,,,,19,20,43,71,27,72,,16,40,3,46,34,0
3,19:24,5v4,CBJ,43,T,20,27,43,or,oc,opl,,,,,,,,-1,34,20059,10/16/2015,CBJ,TOR,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
3,19:08,5v4,CBJ,20,T,19,27,20,orrl,oc,or,,y,,,,,,-1,34,20059,10/16/2015,CBJ,TOR,,,,19,20,43,71,27,72,,23,26,2,44,34,0
3,19:01,5v4,CBJ,43,O,19,,,ol,,,y,y,,y,,,,-1,34,20059,10/16/2015,CBJ,TOR,,,,19,20,43,71,27,72,,23,26,2,44,34,0
3,18:08,5v5,TOR,43,T,51,23,43,oc,opr,oelc,,y,,,,,,0,72,20059,10/16/2015,CBJ,TOR,,,,17,38,13,7,58,72,,23,43,28,3,51,34
