Period,Time,Strength,Team,Shooter,Shot Type?,A1,A2,A3,A1 Zone,A2 Zone,A3 Zone,SC?,SOG?,Oddman,G?,RB,RB SOG?,RB G?,Home Score State,Goalie,Game ID,Date,Home:,Away: ,Home Goalies,Away Goalies,Panthers,F,F,F,D,D,G/Extra Attacker,Opp,F,F,F,D,D,G/Extra Attacker
2,0.511111111,5v4,FLA,17,s,6,,,oc,,,,y,,,,,,1,30,20035,10/12/2015,PHI,FLA,,,,17,22,86,6,7,1,,14,76,3,32,30,0
2,0.504861111,5v4,FLA,6,s,17,,,opr,,,,,,,,,,1,30,20035,10/12/2015,PHI,FLA,,,,17,22,86,6,7,1,,14,25,78,3,82,30
2,0.448611111,5v5,PHI,17,w,55,,,nsc,,,,,,,,,,1,1,20035,10/12/2015,PHI,FLA,,,,21,63,36,33,44,1,,17,24,21,3,15,30
2,0.404166667,5v5,FLA,18,w,73,,,dc,,,,,,,,,,1,30,20035,10/12/2015,PHI,FLA,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
2,0.271527778,5v5,FLA,73,w,21,7,6,ol,dsl,dc,,,,,,,,1,30,20035,10/12/2015,PHI,FLA,,,,21,27,73,33,44,1,,28,93,12,3,82,30
2,0.263194444,5v5,PHI,12,w,93,82,,or,dl,,y,y,3 on 2,,28,y,,1,1,20035,10/12/2015,PHI,FLA,,,,27,73,18,33,44,1,,28,93,12,3,82,30
2,0.2625,5v5,PHI,93,r,,,,,,,,,,,,y,,1,1,20035,10/12/2015,PHI,FLA,,,,27,73,18,33,44,1,,28,93,12,3,82,30
2,5:32,5v5,FLA,5,w,11,16,,opr,or,,,,,,,,,1,30,20035,10/12/2015,PHI,FLA,,,,11,16,5,51,1,0,,14,89,32,55,30,0
2,4:50,4v3,PHI,32,o,93,28,,orrc,opr,,y,y,,,,,,1,1,20035,10/12/2015,PHI,FLA,,,,36,7,33,1,0,0,,17,28,93,32,30,0
2,4:28,4v3,PHI,17,t,93,32,28,oc,oc,oc,y,,,,,,,1,1,20035,10/12/2015,PHI,FLA,,,,36,7,33,1,0,0,,17,28,93,32,30,0
2,4:04,5v4,PHI,32,s,28,,,oc,,,,y,,,,,,1,1,20035,10/12/2015,PHI,FLA,,,,36,7,33,44,1,0,,10,17,28,93,32,30
2,3:51,5v4,PHI,82,o,89,,,opl,,,,,,,,,,1,1,20035,10/12/2015,PHI,FLA,,,,17,18,44,51,1,0,,10,14,89,15,82,30
2,0:56,5v4,FLA,27,w,68,11,,orrr,ol,,,,,,,,,1,30,20035,10/12/2015,PHI,FLA,,,,11,16,27,68,5,1,,14,24,15,32,30,0
2,0:06,5v5,FLA,86,b,17,,,oelc,,,,,,,,,,1,30,20035,10/12/2015,PHI,FLA,,,,17,63,86,6,7,1,,76,21,78,23,55,30
3,19:42,5v5,FLA,7,o,68,,,orrc,,,y,,,,,,,1,30,20035,10/12/2015,PHI,FLA,,,,11,16,68,6,7,1,,10,14,89,32,55,30
3,19:13,5v5,FLA,11,b,63,,,oelr,,,,y,,,,,,1,30,20035,10/12/2015,PHI,FLA,,,,11,16,68,33,44,1,,14,89,12,15,23,30
3,18:35,5v5,FLA,33,s,73,44,,opr,opr,,,,,,,,,1,30,20035,10/12/2015,PHI,FLA,,,,27,73,18,33,44,1,,28,93,12,15,23,30
3,17:47,5v5,FLA,5,w,36,,,opr,,,,,,,,,,1,30,20035,10/12/2015,PHI,FLA,,,,21,63,36,5,51,1,,17,24,21,3,82,30
3,16:15,5v5,PHI,15,w,23,,,opr,,,,y,,,,,,1,1,20035,10/12/2015,PHI,FLA,,,,11,16,22,6,7,1,,10,14,89,15,23,30
3,13:30,5v5,FLA,44,w,16,44,68,or,opr,nl,,y,,,,,,1,30,20035,10/12/2015,PHI,FLA,,,,11,16,68,5,44,1,,25,89,78,32,55,30
3,11:24,5v5,FLA,21,w,6,,,or,,,,y,,,,,,1,30,20035,10/12/2015,PHI,FLA,,,,63,68,36,6,7,1,,14,93,12,15,23,30
3,9:41,5v5,FLA,73,w,18,,,ol,,,y,,,,,,,1,30,20035,10/12/2015,PHI,FLA,,,,27,73,18,5,51,1,,25,24,78,3,55,30
